a,b,c,d,e,sse,sae,2,4,8,16,32,64,128,250,500,1000
-3.2869145022835875,67.88256662308332,-0.7054714341209412,0.2890464207462209,0.7752036139054308,84471936872.32849,1118791.3688928564,14,23,18,13,7,0,0,0,0,0
2.0518623859687404,53.417464781199094,4.096282570182275,-2.679082649631482,-0.7728570400345616,84565905295.16997,1092532.0545069072,18,27,25,30,17,3,0,0,0,0
-2.32956326120622,86.20692633621267,-0.8800716840717024,-3.235228449661477,0.7559070027070414,84783050377.84181,1090650.4525497865,15,26,17,9,3,1,0,0,0,0
1.2011831670642152,21.213579178363645,-2.827605170111298,4.104837205871309,0.7550819273757989,85905666137.03397,1076147.7079996984,23,25,28,28,22,2,1,0,0,0
0.771043442324669,84.72015129307117,2.90137472808682,-2.226885132281317,0.7672853908271948,87326759291.72954,1128740.5456372856,16,11,13,10,0,0,0,0,0,0
3.2800687683887,45.00315862776823,-1.1481740553154083,3.27075869152025,-0.7642224732628886,87716933120.5837,1110149.4899146087,20,20,32,27,21,6,0,0,0,0
-1.4403533390381917,90.08171913356891,3.486893522231952,-0.5010872709200545,-0.8080449873213977,89623943481.14825,1145567.8147832076,19,22,16,7,2,0,0,0,0,0
2.0668321939897103,61.423428605805285,3.3366274744608013,0.12489558711052595,-0.8118958844835911,90553627816.76057,1152760.0161885277,23,23,35,20,10,3,0,0,0,0
-4.647131563796815,9.450945284193239,-1.7312071721573066,0.9216635655688732,-0.794369993272789,90568722112.82764,1158056.2150912802,21,22,26,40,26,5,0,0,0,0
4.742113525990167,40.96321155104408,0.3691587050046232,-2.3492064278063807,0.7985818668553577,92675653403.37665,1157645.389426107,16,25,34,16,18,3,0,0,0,0
-1.4639531697307548,-4.945613462814231,-4.94518746063341,0.4349683631609924,-0.8012857055382385,94158881250.66751,1187081.0175330045,13,25,14,31,4,3,0,0,0,0
-3.5190945731605936,76.47098286123156,-2.001301982491902,-3.6590825786958394,-0.7901601180253763,95164196826.00461,1151755.429264573,17,25,16,9,6,0,0,0,0,0
-4.0928115731936066,62.721148695126175,1.4490755546245584,-4.860440751862514,0.772590859835482,95624329980.55396,1127474.7920283866,16,14,22,14,5,0,0,0,0,0
2.801044064355029,22.844213146215722,3.042099072805737,4.043694451204123,0.787628206299674,96723235510.57718,1156423.6358701482,15,15,26,32,7,1,0,0,0,0
3.204643814099704,55.892311688297305,4.903945263723639,0.03304983743630174,0.8185318384739002,98148213312.65681,1213121.489758153,11,19,21,10,6,0,0,0,0,0
-2.2001159808839867,84.44669476075356,1.7340304726967917,1.8964757316038048,-0.8343858914444224,98323658748.67511,1193771.5335883603,16,12,20,15,1,0,0,0,0,0
1.6764551484372392,49.927898191275816,-3.711200326627382,3.8019033462786958,0.819107451955249,98388383133.4918,1164430.2127754933,16,19,30,18,14,3,0,0,0,0
1.7700420349012136,57.59784220542889,3.1746911581081445,0.4015472126298416,0.8253242176022866,98568978678.9808,1213082.7408535115,18,12,17,10,2,0,0,0,0,0
