a,b,sse,sae,2,4,8,16,32,64,128,250,500,1000
-12.442163393350896,69.92985685430364,1433770.0827621608,6525.23406902909,25,28,28,29,14,3,0,0,0,0
18.093578451116585,39.73237766657408,1434460.2548685505,6610.312925566455,23,23,23,28,15,6,0,0,0,0
16.44185542242215,-80.36642710210214,1443155.0992500125,6431.784902002903,17,23,17,14,7,0,1,0,0,0
-13.685516067156271,35.05687479502876,1531550.5299548337,6843.716340456408,18,23,30,34,23,1,0,0,0,0
-12.344502427308356,93.40861879939723,1556979.520316948,6717.8507534436285,13,34,18,9,6,2,0,0,0,0
17.28115172215223,-81.46031847295596,1589595.0793264224,6763.25949112197,15,24,15,22,3,0,0,0,0,0
-14.112147335544222,22.81597281102661,1591856.2657148542,6990.917853739602,11,32,32,29,13,2,0,0,0,0
18.82560602336416,-31.483588064765726,1597051.622059302,6961.218833996591,25,24,35,21,15,0,0,0,0,0
-13.90297849777373,45.48821624400756,1598978.2055664207,6973.274179298362,14,23,40,35,17,2,0,0,0,0
-13.920189234054533,55.17089939421754,1635035.637113309,7028.812839869665,12,29,35,25,15,1,0,0,0,0
-14.098243812415731,48.33386405830731,1644813.0118797729,7068.342258631648,20,32,36,25,10,1,0,0,0,0
18.97526914939624,-42.98580089629933,1668837.4562365895,7085.810419227761,19,23,37,28,15,1,0,0,0,0
19.63259478506285,-9.563557541209804,1698966.9477690128,7217.1152927799,14,28,35,30,13,1,0,0,0,0
19.730240347614725,-1.0776780723803654,1708261.9305944657,7246.7786240705655,18,34,32,26,5,2,0,0,0,0
-13.028220790838873,-81.67762155431262,1721180.852013326,7053.459945524599,23,21,23,9,3,1,0,0,0,0
-14.038648586895945,69.8932227336332,1722071.7568143962,7174.021182588976,13,27,20,24,13,1,0,0,0,0
-14.6587101252926,37.580533135283844,1723469.1742064995,7258.082431778158,10,17,30,22,9,2,0,0,0,0
19.9276346414551,21.543861109562073,1749818.1448982786,7332.150410520705,16,27,34,29,14,1,0,0,0,0
19.599219192401733,-33.073300519495234,1750856.7920022048,7289.443248251795,14,28,36,23,7,3,0,0,0,0
-12.837140818810184,-95.49966143589876,1797935.4288160338,7155.9348281769335,13,18,17,13,2,0,0,0,0,0
-15.135992554817435,26.677097222342468,1798113.73009366,7424.876179580714,20,35,32,22,16,0,0,0,0,0
20.25167904000496,6.533680613773569,1809050.2961477868,7458.1715161883085,18,39,27,21,13,1,0,0,0,0
-15.084642356338264,-23.401856958003847,1817965.8663412745,7447.586075823406,15,26,21,23,10,1,0,0,0,0
-15.12802542222613,38.04512790293472,1818277.7864961876,7455.650010199326,20,19,32,25,15,3,0,0,0,0
-15.317522493927754,-1.560106479459563,1826816.1286992654,7493.91955392911,19,20,31,32,12,1,0,0,0,0
-15.300060232387764,27.6334208665763,1832909.2874486987,7496.325439737815,12,22,34,17,11,2,0,0,0,0
-15.389706968588342,-10.125388175975573,1852035.8719101923,7535.273677397855,15,18,30,24,9,1,0,0,0,0
19.813490959212743,-49.23941949062063,1859670.0324645997,7471.580247793146,12,21,32,21,8,0,0,0,0,0
20.341197667384222,42.14174388475479,1872123.221042951,7557.045856620869,22,22,31,24,8,0,0,0,0,0
18.973161346195624,-86.13776507582625,1928734.324883483,7471.0483408503815,18,23,17,6,0,1,0,0,0,0
-15.786573929229704,32.706719504080894,1942491.382572565,7714.90806093026,8,39,34,25,12,1,0,0,0,0
-15.079170333119123,-66.11684425923204,2005160.4498587758,7707.719731580739,17,29,19,15,6,0,0,0,0,0
-16.186408750283874,2.959531013315143,2005799.9230693593,7854.3321441059115,21,21,16,20,11,1,0,0,0,0
20.38075633794834,75.65310851802121,2017349.2189057576,7761.920345509072,14,23,28,22,4,0,0,0,0,0
